지점번호,지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),최고기온일자,평균최저기온(℃),최저기온(℃),최저기온일자
108,서울,06-Jul,23.1,26,30.1,2006-07-31,20.9,17.5,2006-07-18
108,서울,06-Aug,27,31.1,34.7,2006-08-04,23.9,20.8,2006-08-19
108,서울,06-Sep,21.1,25.7,30.3,2006-09-02,16.9,11.3,2006-09-11
108,서울,06-Oct,17.9,22.6,27.5,2006-10-04,13.9,7.9,2006-10-30
108,서울,06-Nov,8.4,12.4,20.2,2006-11-03,4.5,-1.3,2006-11-07
108,서울,06-Dec,1.4,5.4,12.6,2006-12-26,-2,-12.3,2006-12-29
108,서울,07-Jan,0.4,4.1,11.8,2007-01-04,-2.8,-7.6,2007-01-14
108,서울,07-Feb,4,8.7,14.8,2007-02-28,0.1,-8.6,2007-02-02
108,서울,07-Mar,6.1,10.3,16.2,2007-03-23,2.3,-7.6,2007-03-06
108,서울,07-Apr,11.4,16.1,22.5,2007-04-29,7.5,1.6,2007-04-03
108,서울,07-May,18.1,23.4,30.1,2007-05-27,13.6,9,2007-05-10
108,서울,07-Jun,23.2,27.7,33.2,2007-06-18,19.2,14.1,2007-06-09
108,서울,07-Jul,24.2,27.8,31.2,2007-07-30,21.3,17.7,2007-07-11
108,서울,07-Aug,26.5,29.9,33.2,2007-08-23,23.8,19.8,2007-08-31
108,서울,07-Sep,21.5,25.1,31.1,2007-09-20,18.6,14.1,2007-09-29
108,서울,07-Oct,15.1,19.6,26.2,2007-10-05,11.3,3.2,2007-10-20
108,서울,07-Nov,6.7,11.4,19.3,2007-11-08,2.8,-5.5,2007-11-19
108,서울,07-Dec,1.8,5.4,13.8,2007-12-26,-1.4,-7.4,2007-12-30
108,서울,08-Jan,-1.7,1.9,7.3,2008-01-06,-5,-11.1,2008-01-17
108,서울,08-Feb,-1.2,3.2,10.5,2008-02-22,-4.9,-10.1,2008-02-13
108,서울,08-Mar,7.3,11.9,19.8,2008-03-21,3.7,-1.7,2008-03-05
108,서울,08-Apr,14.1,19.5,28,2008-04-19,9.3,3.8,2008-04-04
108,서울,08-May,17.7,22.7,28.5,2008-05-29,13.1,8.1,2008-05-14
108,서울,08-Jun,21.5,26.1,29.6,2008-06-20,17.6,13.7,2008-06-05
108,서울,08-Jul,25.1,28.4,32.9,2008-07-09,22.6,20.2,2008-07-01
108,서울,08-Aug,25.3,29.5,35.4,2008-08-08,21.8,16.3,2008-08-22
108,서울,08-Sep,22,26.9,32,2008-09-17,18,10.3,2008-09-27
108,서울,08-Oct,16.1,21,28.3,2008-10-18,12.1,5.6,2008-10-28
108,서울,08-Nov,7.6,11.7,18.4,2008-11-06,3.8,-7.2,2008-11-19
108,서울,08-Dec,1.1,5,13.3,2008-12-10,-2.7,-13.1,2008-12-06
108,서울,09-Jan,-2,2.3,12.2,2009-01-30,-5.5,-11.4,2009-01-24
108,서울,09-Feb,2.9,6.8,16.1,2009-02-13,-0.6,-8.6,2009-02-17
108,서울,09-Mar,6,10.6,22.2,2009-03-21,1.8,-3.3,2009-03-14
108,서울,09-Apr,12.7,18,25.8,2009-04-19,8.1,2.2,2009-04-01
108,서울,09-May,19.1,24.3,31,2009-05-28,14.6,9.8,2009-05-05
108,서울,09-Jun,22.4,26.7,32.4,2009-06-27,18.8,14.3,2009-06-01
108,서울,09-Jul,24.3,28.2,32.4,2009-07-16,21,18.7,2009-07-10
108,서울,09-Aug,25.7,29.5,34.4,2009-08-16,22.4,16.4,2009-08-31
108,서울,09-Sep,21.8,26.3,29.9,2009-09-06,17.7,14.4,2009-09-22
108,서울,09-Oct,16,20.9,26.4,2009-10-01,11.7,6.2,2009-10-20
108,서울,09-Nov,6.9,10.4,21.8,2009-11-09,3.7,-4.3,2009-11-18
108,서울,09-Dec,-1,2.5,10.1,2009-12-01,-4.2,-12.9,2009-12-31
108,서울,10-Jan,-4.5,-0.7,8.4,2010-01-20,-8.1,-15.3,2010-01-13
108,서울,10-Feb,1.4,4.9,17.9,2010-02-24,-1.7,-10.8,2010-02-03
108,서울,10-Mar,4.3,8.1,14.2,2010-03-30,0.5,-4,2010-03-10
108,서울,10-Apr,9.5,14,20.7,2010-04-20,5.6,1.1,2010-04-03
108,서울,10-May,17.2,22,28.6,2010-05-21,13,5.8,2010-05-01
108,서울,10-Jun,23.4,28.2,32.7,2010-06-10,19.3,12.1,2010-06-01
108,서울,10-Jul,25.8,29.3,32.3,2010-07-20,23.1,21,2010-07-12
108,서울,10-Aug,26.5,30,33.8,2010-08-05,23.8,19.9,2010-08-25
108,서울,10-Sep,21.8,26,31.4,2010-09-01,18.5,8.4,2010-09-30
108,서울,10-Oct,14.5,19.3,24.2,2010-10-09,10.4,0.7,2010-10-27
108,서울,10-Nov,6.5,11.3,17.4,2010-11-13,2.5,-5.2,2010-11-28
108,서울,10-Dec,-1.3,3.1,13.5,2010-12-02,-5.1,-15.1,2010-12-24
108,서울,11-Jan,-7.2,-3.4,0.3,2011-01-14,-10.5,-17.8,2011-01-16
108,서울,11-Feb,1.2,5.9,13.2,2011-02-26,-2.5,-9.2,2011-02-12
108,서울,11-Mar,3.6,8.3,16.8,2011-03-31,-0.1,-5.5,2011-03-03
108,서울,11-Apr,10.7,15.6,19,2011-04-15,6.8,4.3,2011-04-01
108,서울,11-May,17.9,23,31.2,2011-05-29,13.6,8.5,2011-05-02
108,서울,11-Jun,22,26.6,32.9,2011-06-19,18.4,14.4,2011-06-03
108,서울,11-Jul,24.6,28,34.1,2011-07-18,22,18.9,2011-07-04
108,서울,11-Aug,25.8,29.5,34.1,2011-08-05,23,18.1,2011-08-23
108,서울,11-Sep,21.8,26.6,32.4,2011-09-02,17.7,10.3,2011-09-30
108,서울,11-Oct,14.2,19.3,23.4,2011-10-13,9.7,3.1,2011-10-26
108,서울,11-Nov,10.7,14.7,25.9,2011-11-05,7.2,-5.5,2011-11-24
108,서울,11-Dec,-0.9,2.9,9.1,2011-12-03,-4.1,-10.6,2011-12-17
108,서울,12-Jan,-2.8,1.3,8.4,2012-01-19,-6.3,-12.2,2012-01-23
108,서울,12-Feb,-2,3,12.1,2012-02-22,-6,-17.1,2012-02-02
108,서울,12-Mar,5.1,9.5,16.2,2012-03-29,1.5,-5.7,2012-03-12
108,서울,12-Apr,12.3,17.9,29.4,2012-04-30,7.8,0.6,2012-04-07
108,서울,12-May,19.7,25.1,29.3,2012-05-22,15.4,12,2012-05-18
108,서울,12-Jun,24.1,29.7,33.5,2012-06-19,20,16.3,2012-06-01
108,서울,12-Jul,25.4,29,33.2,2012-07-29,22.4,18.5,2012-07-07
108,서울,12-Aug,27.1,30.9,36.7,2012-08-05,23.9,18.7,2012-08-31
108,서울,12-Sep,21,25,29.5,2012-09-02,17.4,12,2012-09-30
108,서울,12-Oct,15.3,20.5,26,2012-10-03,11,2.8,2012-10-31
108,서울,12-Nov,5.5,9.5,15.7,2012-11-03,1.8,-3,2012-11-30
108,서울,12-Dec,-4.1,-0.5,8.3,2012-12-15,-7.4,-14.5,2012-12-26
108,서울,13-Jan,-3.4,0.3,11.5,2013-01-31,-6.6,-16.4,2013-01-03
108,서울,13-Feb,-1.2,2.8,13.9,2013-02-28,-4.9,-15.8,2013-02-08
108,서울,13-Mar,5.1,10.8,23.8,2013-03-09,0.7,-4.4,2013-03-02
108,서울,13-Apr,10,15,21.6,2013-04-28,5.7,1.3,2013-04-10
108,서울,13-May,18.2,23.6,31.8,2013-05-25,13.7,7.9,2013-05-06
108,서울,13-Jun,24.4,29.2,32.6,2013-06-29,20.5,16.3,2013-06-02
108,서울,13-Jul,25.5,28.3,31.3,2013-07-01,23.4,20.5,2013-07-03
108,서울,13-Aug,27.7,31.1,33.9,2013-08-21,24.8,21.1,2013-08-31
108,서울,13-Sep,21.8,25.9,31.1,2013-09-18,18,10.9,2013-09-27
108,서울,13-Oct,15.8,21.2,28.1,2013-10-05,10.9,4.3,2013-10-26
108,서울,13-Nov,6.2,10.7,20.7,2013-11-01,2.1,-6.4,2013-11-28
108,서울,13-Dec,-0.2,3.5,11,2013-12-07,-3.5,-9.8,2013-12-28
108,서울,14-Jan,-0.7,3.5,8.2,2014-01-29,-4.9,-10.5,2014-01-13
108,서울,14-Feb,1.9,6.6,16.4,2014-02-26,-1.8,-10.5,2014-02-04
108,서울,14-Mar,7.9,13.1,23.8,2014-03-28,3.5,-4.6,2014-03-07
108,서울,14-Apr,14,19.6,26.2,2014-04-24,9.4,2.3,2014-04-06
108,서울,14-May,18.9,25.3,33.3,2014-05-31,13.8,6.8,2014-05-05
108,서울,14-Jun,23.1,27.8,31.1,2014-06-06,19.7,17.3,2014-06-12
108,서울,14-Jul,26.1,30.6,34.4,2014-07-31,22.9,19.1,2014-07-24
108,서울,14-Aug,25.2,29,35.8,2014-08-02,22.1,18.3,2014-08-11
108,서울,14-Sep,22.1,27,31.3,2014-09-07,18,14.9,2014-09-19
108,서울,14-Oct,15.6,21.4,29,2014-10-12,10.7,2.7,2014-10-28
108,서울,14-Nov,9,13.8,22.9,2014-11-01,4.9,-3.1,2014-11-13
108,서울,14-Dec,-2.9,1.5,7.9,2014-12-01,-6.7,-13.2,2014-12-18
108,서울,15-Jan,-0.9,3.6,9,2015-01-15,-4.8,-9.8,2015-01-01
108,서울,15-Feb,1,6,13,2015-02-15,-2.9,-13,2015-02-09
108,서울,15-Mar,6.3,12.4,21.9,2015-03-20,1,-6.9,2015-03-10
108,서울,15-Apr,13.3,18.8,28.3,2015-04-30,8.4,3.5,2015-04-08
108,서울,15-May,18.9,24.9,32.2,2015-05-28,13.6,8.3,2015-05-05
108,서울,15-Jun,23.6,29.5,34.9,2015-06-10,18.9,15.6,2015-06-21
108,서울,15-Jul,25.8,30,36,2015-07-11,22.6,18.2,2015-07-04
108,서울,15-Aug,26.3,30.8,34.4,2015-08-07,22.8,18.9,2015-08-26
108,서울,15-Sep,22.4,28.1,31,2015-09-22,17.5,14.2,2015-09-27
108,서울,15-Oct,15.5,21.2,26.6,2015-10-17,10.8,1.1,2015-10-31
108,서울,15-Nov,8.9,12.7,21,2015-11-12,5.9,-7.3,2015-11-27
108,서울,15-Dec,1.6,6,12.2,2015-12-13,-2.1,-9.5,2015-12-28
108,서울,16-Jan,-3.2,1.1,9.5,2016-01-02,-6.8,-18,2016-01-24
108,서울,16-Feb,0.2,5.1,14.4,2016-02-13,-4.1,-10,2016-02-15
108,서울,16-Mar,7,12.6,21.4,2016-03-31,2.4,-7.5,2016-03-01
108,서울,16-Apr,14.1,20.3,29.6,2016-04-26,9.1,5.1,2016-04-04
108,서울,16-May,19.6,25.7,31.9,2016-05-19,14.1,8.9,2016-05-03
108,서울,16-Jun,23.6,28.7,32.2,2016-06-05,19.5,17.1,2016-06-01
108,서울,16-Jul,26.2,29.8,34.1,2016-07-22,23.3,19.8,2016-07-16
108,서울,16-Aug,28,32.6,36.6,2016-08-21,24.5,16.1,2016-08-31
108,서울,16-Sep,23.1,27.9,31.1,2016-09-05,19.3,14.3,2016-09-21
108,서울,16-Oct,16.1,21.3,29,2016-10-04,11.6,0.7,2016-10-31
108,서울,16-Nov,6.8,11.6,18.6,2016-11-19,2.8,-6.2,2016-11-24
108,서울,16-Dec,1.2,5.8,13.6,2016-12-20,-2.7,-9.8,2016-12-16
108,서울,17-Jan,-1.8,2.9,11.4,2017-01-06,-5.8,-12.6,2017-01-23
108,서울,17-Feb,-0.2,4.8,12.3,2017-02-28,-4.7,-9.3,2017-02-10
108,서울,17-Mar,6.3,12.3,18.9,2017-03-19,1.7,-5.3,2017-03-08
108,서울,17-Apr,13.9,20,27.8,2017-04-30,9.1,3.1,2017-04-02
108,서울,17-May,19.5,25.4,30.3,2017-05-30,14.4,10,2017-05-06
108,서울,17-Jun,23.3,28.8,34.1,2017-06-23,18.7,14.5,2017-06-06
108,서울,17-Jul,26.9,30.4,35.4,2017-07-25,24.3,21.9,2017-07-03
108,서울,17-Aug,25.9,29.7,35.3,2017-08-04,22.9,16.1,2017-08-30
108,서울,17-Sep,22.1,27.4,31.4,2017-09-26,17.5,11.2,2017-09-29
108,서울,17-Oct,16.4,22.5,29.4,2017-10-02,11.6,2.5,2017-10-30
108,서울,17-Nov,5.6,10.5,18.4,2017-11-07,1.3,-6.6,2017-11-19
108,서울,17-Dec,-1.9,2.2,8.7,2017-12-23,-5.7,-12.3,2017-12-12
108,서울,18-Jan,-4,0.1,8.7,2018-01-17,-7.3,-17.8,2018-01-26
108,서울,18-Feb,-1.6,3.3,10.4,2018-02-26,-5.9,-13.4,2018-02-07
108,서울,18-Mar,8.1,13.6,22.1,2018-03-14,3.8,-6.7,2018-03-02
108,서울,18-Apr,13,18.5,26.3,2018-04-20,8.1,0.1,2018-04-09
108,서울,18-May,18.2,23.3,29.6,2018-05-26,13.4,6.9,2018-05-03
108,서울,18-Jun,23.1,28.4,32.9,2018-06-25,18.9,16.3,2018-06-16
108,서울,18-Jul,27.8,32.1,38.3,2018-07-31,24.2,17.7,2018-07-08
108,서울,18-Aug,28.8,33.3,39.6,2018-08-01,25.2,20.2,2018-08-27
108,서울,18-Sep,21.5,26,30.9,2018-09-01,17.6,10.8,2018-09-25
108,서울,18-Oct,13.1,18.6,25.6,2018-10-04,8.5,0.7,2018-10-30
108,서울,18-Nov,7.8,13.2,19.4,2018-11-04,3.6,-3.1,2018-11-23
108,서울,18-Dec,-0.6,4.1,13.5,2018-12-03,-4.7,-14.4,2018-12-28
108,서울,19-Jan,-0.9,4.1,8.5,2019-01-19,-5.1,-10.1,2019-01-16
108,서울,19-Feb,1,6,14.5,2019-02-23,-3.2,-10.2,2019-02-08
108,서울,19-Mar,7.1,12.4,17.6,2019-03-26,2.7,-1.7,2019-03-14
108,서울,19-Apr,12.1,17.6,28.2,2019-04-22,7.2,0.3,2019-04-01
108,서울,19-May,19.4,25.6,33.4,2019-05-24,13.7,8.4,2019-05-07
108,서울,19-Jun,22.5,27.7,32.8,2019-06-25,18.1,14.1,2019-06-02
108,서울,19-Jul,25.9,30.1,36.1,2019-07-06,22.7,19.3,2019-07-10
108,서울,19-Aug,27.2,31.6,36.8,2019-08-06,23.6,18.5,2019-08-31
108,서울,19-Sep,22.6,27.1,30.5,2019-09-16,19,13.6,2019-09-19
108,서울,19-Oct,16.4,21.8,28.2,2019-10-01,11.8,4.7,2019-10-27
108,서울,19-Nov,7.6,12.9,22.1,2019-11-03,3.1,-4.6,2019-11-20
108,서울,19-Dec,1.4,5.3,12.9,2019-12-16,-2.6,-10.9,2019-12-31
108,서울,20-Jan,1.6,5.9,11.9,2020-01-26,-1.7,-6.5,2020-01-01
108,서울,20-Feb,2.5,7.2,15.6,2020-02-15,-1.3,-11.8,2020-02-06
108,서울,20-Mar,7.7,13.3,20.6,2020-03-26,2.6,-2.8,2020-03-05
108,서울,20-Apr,11.1,16.6,23.8,2020-04-16,6.3,1.9,2020-04-05
108,서울,20-May,18,23.3,30,2020-05-30,13.7,9.2,2020-05-20
108,서울,20-Jun,23.9,29,35.4,2020-06-22,19.9,14.8,2020-06-02
108,서울,20-Jul,24.1,28,32.9,2020-07-09,21.1,17.2,2020-07-14
108,서울,20-Aug,26.5,29.3,34.5,2020-08-26,24.4,21.5,2020-08-23
108,서울,20-Sep,21.4,25.6,29.5,2020-09-01,18,13.6,2020-09-21
108,서울,20-Oct,14.3,19.5,23.6,2020-10-01,9.6,3.2,2020-10-24
108,서울,20-Nov,8,12.6,20,2020-11-17,4,-3.6,2020-11-30
108,서울,20-Dec,-0.3,3.9,11.4,2020-12-28,-4.2,-12.9,2020-12-31
108,서울,21-Jan,-2.4,2.2,13.9,2021-01-25,-6.8,-18.6,2021-01-08
108,서울,21-Feb,2.7,7.9,17.4,2021-02-21,-2.2,-10.6,2021-02-18
108,서울,21-Mar,9,14.8,22.9,2021-03-31,4.3,-1.2,2021-03-03
108,서울,21-Apr,14.2,19.5,28.2,2021-04-21,9.5,3.1,2021-04-14
108,서울,21-May,17.1,21.9,30.8,2021-05-14,12.8,7.3,2021-05-02
108,서울,21-Jun,22.8,27.6,31.6,2021-06-09,18.9,13.3,2021-06-04
108,서울,21-Jul,28.1,32.2,36.5,2021-07-24,24.6,19.6,2021-07-03
108,서울,21-Aug,25.9,29.7,33.7,2021-08-05,22.8,18.1,2021-08-31
108,서울,21-Sep,22.6,26.9,30.3,2021-09-13,18.8,16,2021-09-30
108,서울,21-Oct,15.6,20.5,28.8,2021-10-03,11.6,1.3,2021-10-17
108,서울,21-Nov,8.2,13.1,21.3,2021-11-07,4,-3.7,2021-11-23
108,서울,21-Dec,0.6,5.1,13.3,2021-12-08,-3.5,-15.5,2021-12-26
108,서울,22-Jan,-2.2,2.6,8.4,2022-01-24,-6.2,-11.3,2022-01-12
108,서울,22-Feb,-1.1,3.8,11.5,2022-02-28,-5.3,-10.7,2022-02-17
108,서울,22-Mar,7.7,12.7,19.5,2022-03-12,3.2,-3,2022-03-06
108,서울,22-Apr,14.8,20.6,28.7,2022-04-26,10,3.5,2022-04-03
108,서울,22-May,19.1,25,30.7,2022-05-23,13.9,7.9,2022-05-01
108,서울,22-Jun,23.3,27.5,32.7,2022-06-11,19.8,14.9,2022-06-15
108,서울,22-Jul,27.3,31,36.1,2022-07-30,24.2,20.8,2022-07-21
108,서울,22-Aug,25.7,28.9,32.9,2022-08-04,23.1,16.1,2022-08-28
108,서울,22-Sep,22.4,27.2,32.5,2022-09-18,18.2,12.3,2022-09-24
108,서울,22-Oct,14.6,19.7,27.6,2022-10-01,10.3,4.4,2022-10-19
108,서울,22-Nov,10,15.4,22.1,2022-11-11,5.6,-8.1,2022-11-30
108,서울,22-Dec,-2.8,1.7,10.2,2022-12-09,-6.6,-13.7,2022-12-23
108,서울,23-Jan,-1.5,3.2,12.5,2023-01-12,-5.7,-17.3,2023-01-25
108,서울,23-Feb,2.3,7.3,12.4,2023-02-27,-1.9,-5.3,2023-02-21
108,서울,23-Mar,9.8,16.2,25.1,2023-03-22,4.2,-1.9,2023-03-13
108,서울,23-Apr,13.8,19,28.4,2023-04-19,8.8,3.1,2023-04-08
108,서울,23-May,,,31.2,2023-05-16,,7.9,2023-05-08
